nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,284,399,893,8,0,4,91,0,0,1,0,7,0,0,16
1,376,143,844,17,0,11,261,1,0,14,2,13,0,2,19
2,1244,28,130,12,3,22,134,1,2,19,0,10,13,2,83
10,104,90,1321,24,2,11,148,0,0,1,0,1,0,0,1
20,321,153,714,55,0,51,156,2,1,70,95,68,2,7,8
30,412,78,367,47,3,30,306,2,3,293,35,107,0,5,15
40,546,430,209,13,6,372,34,5,4,8,0,19,0,0,57
50,257,18,267,24,4,60,357,2,2,425,87,148,2,39,11
60,576,79,186,100,0,40,624,0,1,63,0,8,3,3,20
70,349,13,213,40,1,57,231,0,9,442,96,168,11,69,4
80,108,11,422,8,1,7,90,3,2,319,287,117,61,264,3
90,119,5,98,8,3,27,150,1,4,781,195,184,51,30,47
91,10,0,10,1,0,9,15,0,0,51,210,108,613,607,69
92,4,0,4,0,0,12,8,0,0,18,26,78,234,1199,120
100,6,4,18,1,0,5,79,0,0,3,1,40,199,450,897
