nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,240,711,403,307,8,0,4,1,2,11,0,1,0,0,15
1,301,472,523,285,28,0,20,12,10,35,5,3,0,1,8
2,1272,83,85,37,9,0,48,3,15,56,2,2,18,14,59
10,29,813,682,143,7,0,15,0,14,0,0,0,0,0,0
20,228,466,482,108,29,0,93,21,43,66,132,30,0,3,2
30,353,204,232,237,44,0,174,16,64,221,87,59,0,0,12
40,971,321,151,52,58,0,53,2,26,15,1,2,3,0,48
50,297,101,169,239,34,0,141,14,41,303,272,52,20,18,2
60,281,429,66,580,101,0,132,7,62,36,0,1,4,3,1
70,389,48,158,154,10,0,168,14,44,299,317,68,29,4,1
80,126,37,317,131,2,0,48,4,17,224,495,86,156,59,1
90,197,24,63,71,2,0,174,9,16,506,500,32,51,37,21
91,20,4,4,9,0,0,33,0,1,18,176,155,250,938,95
92,9,3,3,1,0,0,25,1,2,15,54,48,183,1257,102
100,6,26,11,1,1,0,33,0,0,0,13,15,278,611,708
