0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
7020,1056,0,3,80,0,0,0,0,1,62,0,0,0,24
617,6339,0,5,581,109,0,165,0,154,42,16,4,6,39
0,0,229,3,6275,0,0,0,0,787,532,0,0,0,334
0,3134,0,2490,0,2561,0,0,0,0,0,1,0,0,0
43,2604,0,0,3227,219,0,317,0,291,986,369,46,5,43
0,911,1,202,626,4475,0,532,0,912,587,42,104,14,16
0,0,145,0,0,0,0,0,0,105,7653,0,0,0,285
0,1428,0,6,312,2043,0,1248,0,60,995,1918,130,34,31
0,7389,0,0,15,0,0,0,0,711,75,0,0,0,0
13,258,2,4,451,462,0,821,0,1510,2042,2433,62,127,23
0,1624,0,0,215,0,0,961,0,337,2106,888,1483,622,19
0,64,0,0,57,2209,0,293,0,1340,96,3594,459,75,146
2,13,0,8,3,36,0,58,0,135,339,241,6477,628,201
0,53,1,54,96,57,0,34,0,384,770,303,821,4687,929
41,39,3,15,96,2,0,2,0,492,447,119,126,875,5933
