nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,1495,187,19,0,0,0,0,0,0,0,0,0,0,0,2
1,660,815,0,19,0,126,0,19,0,23,0,33,1,0,7
2,0,0,1591,0,11,53,0,0,0,0,0,0,0,0,48
10,0,62,0,102,0,1539,0,0,0,0,0,0,0,0,0
20,507,747,1,0,0,0,0,15,93,78,0,242,4,15,1
30,292,87,0,0,0,867,0,0,5,137,3,296,0,7,9
40,0,0,0,0,0,1696,0,0,0,0,0,0,0,0,7
50,12,363,0,0,1,393,0,51,6,422,12,373,15,32,23
60,0,1553,0,0,0,102,0,33,15,0,0,0,0,0,0
70,24,457,8,0,0,107,0,304,253,186,10,342,1,10,1
80,630,235,0,0,0,0,0,1,73,36,13,545,42,128,0
90,166,109,20,0,1,159,0,161,0,462,2,530,31,8,54
91,13,9,0,0,0,4,47,11,14,95,2,256,1031,110,111
92,1,3,0,0,1,14,5,0,131,9,4,128,500,355,552
100,46,72,51,0,2,33,4,0,61,1,2,182,233,135,881
