nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,248,433,650,10,307,3,3,11,9,7,1,7,0,0,14
1,358,182,751,11,290,12,8,10,19,26,8,13,0,1,14
2,1274,32,63,18,58,48,18,11,13,35,3,29,2,8,91
10,47,138,1266,14,203,29,0,1,5,0,0,0,0,0,0
20,228,214,660,11,226,25,12,40,34,92,140,11,0,4,6
30,394,117,303,3,155,50,28,79,85,339,95,39,0,2,14
40,457,348,179,99,402,54,0,17,61,16,1,11,0,0,58
50,366,31,222,12,137,46,30,45,74,403,240,61,0,27,9
60,467,163,167,0,450,18,15,26,281,71,2,3,2,3,35
70,365,22,172,3,97,61,28,89,87,396,299,62,3,14,5
80,99,20,320,4,105,42,11,34,16,267,571,51,14,141,8
90,154,7,75,2,41,56,23,45,31,619,403,132,23,23,69
91,16,0,6,0,2,7,5,9,6,26,207,125,118,877,299
92,3,1,1,1,5,4,4,8,3,20,88,48,36,1278,203
100,5,3,2,9,11,9,1,2,1,1,28,12,34,465,1120
