nan,0.0,10.0,40.0,70.0,91.0,100.0
0,3912,380,444,64,13,129
10,1560,1569,1185,602,6,20
40,794,1385,1817,803,29,114
70,346,364,1060,2632,436,104
91,7,19,57,579,3980,300
100,14,33,23,51,991,3830
