nan,0.0,10.0,40.0,70.0,91.0,100.0
0,3939,392,378,46,16,171
10,1501,2056,623,709,4,49
40,762,2087,1096,825,22,150
70,343,664,473,2887,452,123
91,0,27,68,567,3720,560
100,10,19,14,22,644,4233
