nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,1672,0,9,0,0,0,0,0,11,3,0,0,0,0,8
1,1030,578,0,9,0,19,0,2,1,5,0,50,0,1,8
2,0,0,1526,0,25,0,0,0,62,6,0,0,0,0,84
10,0,1674,0,4,0,15,0,0,0,0,0,8,0,0,2
20,589,605,0,52,6,13,0,35,90,4,1,288,0,19,1
30,226,563,0,112,0,278,0,0,81,66,0,359,1,8,9
40,0,0,0,0,0,0,0,0,1698,0,0,0,0,0,5
50,11,671,0,75,50,169,0,5,6,24,12,613,3,63,1
60,1593,0,0,0,0,0,0,0,13,82,0,0,0,0,15
70,81,379,1,52,153,42,38,26,294,241,0,388,4,2,2
80,69,589,0,0,0,1,0,11,70,197,12,464,252,38,0
90,109,239,15,4,33,90,1,10,0,336,0,742,59,16,49
91,10,4,0,8,8,4,33,0,15,43,6,252,1189,38,93
92,1,2,0,2,0,6,10,1,208,0,2,101,627,334,409
100,55,15,13,19,1,6,10,0,160,1,0,61,320,155,887
