nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,381,739,433,59,21,5,37,0,8,0,0,0,0,0,20
1,392,457,512,122,56,15,74,15,38,7,2,2,1,1,9
2,876,6,40,75,22,8,349,8,204,0,10,6,4,1,94
10,36,472,399,464,285,3,12,10,21,1,0,0,0,0,0
20,92,156,270,292,217,53,157,115,116,78,106,42,4,0,5
30,95,31,63,192,193,56,220,249,138,356,20,77,4,0,9
40,245,97,31,502,387,40,92,20,182,12,1,8,1,1,84
50,75,41,50,89,49,62,110,264,176,528,95,127,29,7,1
60,131,67,25,411,22,44,555,0,386,4,0,47,3,0,8
70,23,2,0,98,81,41,161,335,103,497,63,180,26,90,3
80,4,46,287,56,28,26,79,64,47,247,189,270,272,70,18
90,6,0,5,21,10,17,30,87,48,880,118,349,67,2,63
91,2,0,2,0,0,1,9,8,16,37,38,279,852,338,121
92,1,0,0,7,1,5,16,2,16,10,9,76,397,1030,133
100,3,0,4,19,1,3,6,0,5,1,1,23,194,129,1314
