nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,423,273,880,33,15,1,19,0,31,0,0,0,0,0,28
1,407,206,783,132,34,20,25,13,49,7,6,2,1,0,18
2,903,3,69,121,21,57,146,5,249,8,6,6,16,3,90
10,37,68,865,642,64,4,4,15,1,0,0,3,0,0,0
20,120,46,419,363,113,109,21,106,102,114,136,37,4,1,12
30,102,19,96,256,156,198,24,190,77,446,42,81,2,0,14
40,204,59,67,594,194,140,96,19,197,17,0,8,2,0,106
50,92,24,86,151,59,76,15,236,90,548,130,150,26,8,12
60,340,166,95,522,115,174,31,0,130,37,1,48,0,0,44
70,41,3,1,117,83,90,18,299,79,541,71,249,27,75,9
80,2,1,337,91,17,50,0,48,15,274,248,278,245,70,27
90,6,0,5,25,17,17,4,63,38,836,122,420,65,2,83
91,2,0,2,2,0,3,4,9,17,30,71,249,826,351,137
92,0,0,0,6,2,6,3,1,15,18,11,74,432,1006,129
100,5,0,7,7,0,1,5,0,5,2,8,12,168,174,1309
