nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,198,672,658,43,41,3,46,0,15,0,0,11,0,0,16
1,268,500,595,105,80,17,63,10,33,3,4,17,1,0,7
2,927,60,50,113,44,102,87,8,164,4,18,22,10,0,94
10,10,446,424,523,281,5,4,1,9,0,0,0,0,0,0
20,21,204,291,247,346,54,145,53,91,82,159,5,1,1,3
30,18,63,78,167,347,46,194,95,105,457,83,39,0,1,10
40,12,198,88,562,533,120,17,8,102,11,1,1,0,0,50
50,8,83,50,152,113,70,146,120,119,545,232,50,11,4,0
60,8,183,104,141,338,90,406,1,380,6,21,1,4,0,20
70,11,5,1,100,209,43,190,139,71,570,234,56,9,61,4
80,0,1,338,56,48,14,70,20,24,336,498,42,215,37,4
90,1,0,5,19,28,35,53,31,26,892,373,123,53,0,64
91,1,0,2,0,0,2,13,6,6,43,225,120,963,250,72
92,0,1,0,2,1,9,6,4,15,15,65,29,611,859,86
100,0,1,6,13,3,1,4,0,2,2,25,20,253,121,1252
