nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,280,588,628,85,18,24,55,0,4,0,0,7,0,1,13
1,327,322,539,253,70,35,80,15,26,4,7,14,0,2,9
2,957,17,56,57,17,184,117,12,105,0,24,59,11,9,78
10,10,375,289,560,377,8,23,18,20,0,0,20,0,0,3
20,58,172,288,212,289,161,81,71,151,39,132,42,0,2,5
30,54,28,66,144,275,199,169,232,126,289,54,57,0,1,9
40,82,25,42,352,193,810,20,5,120,0,0,0,0,3,51
50,20,30,31,137,82,95,155,253,138,383,139,217,15,7,1
60,38,4,16,502,61,93,762,5,152,2,3,35,5,0,25
70,10,2,1,59,81,141,145,356,135,399,121,177,17,56,3
80,3,1,318,47,43,125,78,37,32,259,243,224,230,59,4
90,3,0,0,9,15,55,44,131,36,806,128,373,46,17,40
91,0,0,0,0,0,7,19,8,11,37,36,290,804,417,74
92,0,0,0,2,4,6,23,3,17,13,32,41,235,1209,118
100,2,0,2,9,2,3,11,0,5,0,8,11,130,210,1310
