nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,231,688,646,22,25,5,61,0,10,0,0,0,0,0,15
1,423,404,572,58,78,11,91,10,39,1,4,3,1,1,7
2,1068,23,83,28,26,58,159,6,97,4,11,39,4,3,94
10,119,390,371,259,506,10,23,4,21,0,0,0,0,0,0
20,89,174,301,127,336,76,162,52,167,64,98,51,1,1,4
30,68,36,68,89,338,33,268,138,143,398,40,76,0,2,6
40,191,110,77,208,389,319,19,1,328,2,0,5,0,0,54
50,58,31,41,83,109,62,194,129,221,461,148,137,22,6,1
60,283,56,69,153,140,52,695,5,208,4,2,4,2,0,30
70,20,3,0,64,156,26,228,153,163,471,118,216,16,68,1
80,13,6,325,37,44,17,90,19,36,268,266,279,263,36,4
90,9,0,1,8,30,15,52,56,68,728,253,384,44,1,54
91,4,0,0,0,0,6,22,3,13,22,59,272,797,406,99
92,0,1,0,3,4,5,20,0,20,5,21,72,358,1080,114
100,6,0,3,12,1,2,8,0,14,0,11,16,120,157,1353
