nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,263,643,648,47,15,3,63,0,2,0,0,0,2,0,17
1,341,467,573,135,43,8,86,7,24,4,2,2,3,1,7
2,1075,29,47,70,9,27,179,2,129,2,9,10,24,3,88
10,14,463,371,525,279,3,19,2,5,2,0,0,20,0,0
20,62,190,317,316,197,63,172,17,121,116,112,12,3,1,4
30,61,38,73,243,198,30,293,28,101,545,45,40,1,1,6
40,42,102,86,620,265,358,41,4,124,1,1,3,0,0,56
50,35,45,43,172,76,72,242,55,141,600,129,62,24,4,3
60,56,125,14,733,29,33,584,11,77,0,1,3,2,0,35
70,21,8,1,141,78,37,310,40,115,646,128,117,25,32,4
80,0,7,332,70,23,20,129,9,18,376,208,199,260,47,5
90,3,1,1,24,13,16,97,22,49,955,120,301,55,3,43
91,1,0,0,0,0,5,36,5,24,39,54,274,792,344,129
92,0,0,0,5,2,2,36,2,29,12,33,44,353,979,206
100,0,0,0,11,2,3,13,1,20,1,15,9,133,100,1395
