P0,584.5,72.5
P1,559.5,72.5
P2,534.5,72.5
P3,509.5,72.5
P4,484.5,72.5
P5,658.5,101.5
P6,633.5,101.5
P7,609.0,101.5
P8,584.5,101.5
P9,559.5,101.5
P10,534.5,101.5
P11,509.5,101.5
P12,484.5,101.5
P13,460.0,101.5
P14,435.5,101.5
P15,658.5,130.5
P16,633.5,130.5
P17,609.0,130.5
P18,584.5,130.5
P19,559.5,130.5
P20,534.5,130.5
P21,509.5,130.5
P22,484.5,130.5
P23,460.0,130.5
P24,435.5,130.5
P25,410.5,130.5
P26,658.5,159.5
P27,633.5,159.5
P28,609.0,159.5
P29,584.5,159.5
P30,559.5,159.5
P31,534.5,159.5
P32,509.5,159.5
P33,484.5,159.5
P34,460.0,159.5
P35,435.5,159.5
P36,410.5,159.5
P37,385.5,159.5
P38,360.5,159.5
P39,683.5,188.5
P40,658.5,188.5
P41,633.5,188.5
P42,609.0,188.5
P43,584.5,188.5
P44,559.5,188.5
P45,534.5,188.5
P46,509.5,188.5
P47,484.5,188.5
P48,460.0,188.5
P49,435.5,188.5
P50,410.5,188.5
P51,385.5,188.5
P52,360.5,188.5
P53,733.5,217.5
P54,708.5,217.5
P55,683.5,217.5
P56,658.5,217.5
P57,633.5,217.5
P58,609.0,217.5
P59,584.5,217.5
P60,559.5,217.5
P61,534.5,217.5
P62,509.5,217.5
P63,484.5,217.5
P64,460.0,217.5
P65,435.5,217.5
P66,410.5,217.5
P67,385.5,217.5
P68,360.5,217.5
P69,335.5,217.5
P70,733.5,246.5
P71,708.5,246.5
P72,683.5,246.5
P73,658.5,246.5
P74,633.5,246.5
P75,609.0,246.5
P76,584.5,246.5
P77,559.5,246.5
P78,534.5,246.5
P79,509.5,246.5
P80,484.5,246.5
P81,460.0,246.5
P82,435.5,246.5
P83,410.5,246.5
P84,385.5,246.5
P85,360.5,246.5
P86,335.5,246.5
P87,311.0,246.5
P88,758.0,275.5
P89,733.5,275.5
P90,708.5,275.5
P91,683.5,275.5
P92,658.5,275.5
P93,633.5,275.5
P94,609.0,275.5
P95,584.5,275.5
P96,559.5,275.5
P97,534.5,275.5
P98,509.5,275.5
P99,484.5,275.5
P100,460.0,275.5
P101,435.5,275.5
P102,410.5,275.5
P103,385.5,275.5
P104,360.5,275.5
P105,335.5,275.5
P106,311.0,275.5
P107,758.0,304.5
P108,733.5,304.5
P109,708.5,304.5
P110,683.5,304.5
P111,658.5,304.5
P112,633.5,304.5
P113,609.0,304.5
P114,584.5,304.5
P115,559.5,304.5
P116,534.5,304.5
P117,509.5,304.5
P118,484.5,304.5
P119,460.0,304.5
P120,435.5,304.5
P121,410.5,304.5
P122,385.5,304.5
P123,311.0,304.5
P124,286.5,304.5
P125,857.5,333.5
P126,807.5,333.5
P127,782.5,333.5
P128,758.0,333.5
P129,733.5,333.5
P130,708.5,333.5
P131,683.5,333.5
P132,658.5,333.5
P133,633.5,333.5
P134,609.0,333.5
P135,584.5,333.5
P136,559.5,333.5
P137,534.5,333.5
P138,509.5,333.5
P139,484.5,333.5
P140,460.0,333.5
P141,435.5,333.5
P142,410.5,333.5
P143,385.5,333.5
P144,360.5,333.5
P145,335.5,333.5
P146,311.0,333.5
P147,286.5,333.5
P148,907.5,362.5
P149,882.5,362.5
