nan,0.0,10.0,30.0,50.0,70.0,90.0,92.0,100.0
0,3683,470,409,122,34,71,27,126
10,1694,2025,425,398,317,59,13,11
30,518,1090,1857,556,738,61,14,108
50,320,1102,1667,551,986,244,23,49
70,510,431,628,422,2090,645,171,45
90,3,46,181,151,1770,1756,679,356
92,3,11,76,36,151,540,3465,660
100,6,24,51,15,17,276,398,4155
