nan,0.0,10.0,40.0,70.0,91.0,100.0
0,4413,258,76,43,1,151
10,1671,1909,579,759,5,19
40,1517,949,1460,872,15,129
70,424,366,614,2983,413,142
91,6,12,123,553,3699,549
100,30,16,33,83,557,4223
