nan,0.0,10.0,40.0,70.0,91.0,100.0
0,4444,203,119,49,2,125
10,1427,2215,700,566,13,21
40,1355,1007,1686,751,23,120
70,439,372,863,2738,408,122
91,11,3,140,494,3832,462
100,37,2,54,43,667,4139
