0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
6401,1502,78,125,38,1,0,0,0,0,0,0,34,0,67
745,6349,0,58,126,659,0,164,0,182,8,30,12,20,69
0,0,7056,0,538,0,0,0,0,19,18,7,225,0,297
0,0,0,1828,0,6358,0,0,0,0,0,0,0,0,0
228,2783,1,142,2101,166,0,816,0,870,285,547,87,13,111
0,405,132,3,219,6275,0,193,0,753,4,36,218,153,31
0,0,0,0,0,0,0,0,0,0,563,3231,4281,0,113
30,1220,4,10,168,4673,0,995,0,311,257,379,4,104,50
62,7052,1,0,81,424,0,0,0,490,1,0,35,0,44
5,230,92,83,483,1594,0,1256,0,2460,512,537,522,225,209
0,1531,0,0,12,4,0,1373,0,2,1033,2058,1351,633,258
383,180,61,0,1,3654,0,63,14,1155,92,2140,256,101,233
33,12,2,1,3,47,5,61,5,112,18,249,7033,336,224
23,53,0,17,11,81,0,35,0,12,175,191,1250,4742,1599
73,12,31,5,50,92,0,0,19,0,125,31,156,553,7043
