nan,0.0,10.0,40.0,70.0,91.0,100.0
0,3932,520,291,27,3,169
10,1824,2002,274,789,9,44
40,1042,1925,824,885,45,221
70,376,860,252,2841,486,127
91,6,28,31,693,3567,617
100,26,33,20,66,817,3980
