nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,1467,1,66,105,0,3,7,0,2,16,0,0,0,0,36
1,1299,0,56,233,1,13,16,8,26,30,3,0,0,1,17
2,912,1,43,339,5,2,120,6,118,18,0,2,2,8,127
10,908,1,187,496,4,0,3,9,79,15,0,0,0,0,1
20,550,0,48,493,4,26,41,49,160,201,107,9,2,0,13
30,200,2,19,544,45,45,82,45,117,505,58,28,0,0,13
40,343,19,91,697,22,42,14,15,119,166,1,2,0,0,172
50,190,1,22,256,14,30,54,66,217,606,162,45,16,0,24
60,367,0,27,963,0,86,30,0,5,135,0,6,0,0,84
70,33,4,2,279,32,32,73,49,139,704,155,87,42,57,15
80,256,0,79,137,9,16,47,50,42,316,318,76,304,34,19
90,8,1,9,53,6,8,26,15,83,923,321,93,68,4,85
91,2,0,5,7,0,6,0,3,28,66,226,51,757,344,208
92,0,0,4,10,0,2,5,0,15,31,23,61,447,946,159
100,0,2,11,16,0,0,4,0,15,10,4,11,301,166,1163
