nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,16,1540,4,71,12,0,6,0,1,0,0,0,0,0,53
1,19,1374,4,121,53,2,11,19,19,7,2,4,1,0,67
2,54,840,73,315,20,0,62,28,114,4,3,1,9,22,158
10,0,1147,7,96,408,4,0,11,2,1,0,0,0,0,27
20,1,685,1,154,285,6,51,134,51,121,54,100,1,1,58
30,35,257,2,268,304,31,41,220,26,382,32,68,1,1,35
40,243,327,11,100,641,1,27,83,28,30,5,12,0,0,195
50,22,244,1,128,160,27,25,191,83,556,82,154,6,11,13
60,0,572,5,364,102,0,183,60,4,29,12,15,1,0,356
70,10,75,1,135,238,24,46,196,42,571,53,197,3,79,33
80,1,334,0,102,30,1,27,73,22,340,146,296,95,196,40
90,7,19,0,25,52,6,23,50,60,921,111,277,25,18,109
91,6,7,0,3,1,0,6,8,18,72,59,243,235,407,638
92,13,2,1,1,4,1,5,3,14,16,13,93,145,1018,374
100,3,56,4,0,0,0,7,0,52,4,11,22,163,293,1088
