nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,1661,9,19,0,0,0,0,0,0,0,0,0,0,0,14
1,907,623,14,0,44,1,11,60,0,14,18,3,0,0,8
2,0,0,1579,0,2,0,0,0,44,9,1,0,0,0,68
10,0,1253,173,0,268,2,1,0,0,6,0,0,0,0,0
20,559,595,26,0,0,46,0,276,0,10,146,16,0,3,26
30,269,139,121,196,327,23,14,72,80,283,99,50,12,0,18
40,0,0,715,0,0,898,0,0,0,8,33,0,0,0,49
50,46,312,72,0,210,25,98,145,0,503,116,124,9,2,41
60,1675,0,0,0,0,0,0,5,10,0,0,0,0,5,8
70,601,67,30,23,17,15,52,169,127,204,227,74,51,41,5
80,36,542,0,0,0,0,0,145,0,48,487,92,287,50,16
90,247,24,54,5,68,6,0,52,0,626,310,206,40,0,65
91,26,1,0,0,0,0,19,14,3,5,124,215,1125,84,87
92,3,4,1,5,1,1,31,23,14,3,75,40,784,235,483
100,15,18,32,1,0,2,52,8,17,2,41,46,368,129,972
