nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,1672,1,19,0,0,0,0,0,0,0,0,0,0,0,11
1,1019,394,119,0,24,0,19,102,0,5,0,9,0,1,11
2,0,0,1567,0,0,21,0,0,42,0,0,0,0,0,73
10,0,0,1562,0,125,0,0,0,0,10,0,0,0,0,6
20,574,518,23,0,0,52,0,355,0,9,17,122,0,23,10
30,287,0,327,212,307,0,147,1,78,254,54,16,1,2,17
40,0,0,302,0,0,1333,0,0,0,0,43,0,0,0,25
50,54,209,202,0,234,5,100,224,0,507,1,104,2,42,19
60,1676,0,0,0,0,0,0,0,10,0,0,0,0,3,14
70,729,17,40,0,30,25,55,163,116,221,133,90,24,52,8
80,193,438,0,0,0,0,0,241,0,94,10,346,293,87,1
90,389,6,80,6,101,2,34,71,0,703,14,185,41,12,59
91,31,2,0,0,0,0,23,14,4,23,9,309,991,146,151
92,2,1,1,0,1,2,41,20,8,1,40,65,579,418,524
100,29,32,36,0,0,7,53,4,12,0,4,88,199,202,1037
