nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,1227,420,17,0,9,7,0,0,0,0,0,0,0,0,23
1,630,847,42,19,70,21,17,21,0,8,1,11,0,0,16
2,0,0,1289,0,2,113,125,0,41,65,0,0,0,0,68
10,7,466,519,109,592,8,0,0,0,2,0,0,0,0,0
20,458,385,1,0,306,131,5,185,0,91,84,47,2,1,7
30,39,125,17,259,307,150,114,38,82,454,35,55,16,0,12
40,0,0,468,0,0,1115,0,15,0,11,23,0,0,0,71
50,4,174,24,80,157,89,131,181,0,601,32,200,20,5,5
60,1450,0,0,0,10,153,0,0,15,58,0,12,0,0,5
70,27,33,2,23,160,118,64,152,117,620,126,154,30,66,11
80,4,398,0,0,73,74,131,76,1,345,93,268,172,57,11
90,65,5,5,23,15,37,50,57,0,850,38,471,47,1,39
91,9,2,0,0,1,0,73,4,3,30,20,284,1022,165,90
92,1,2,0,1,3,5,75,7,11,12,30,48,454,815,239
100,4,3,6,2,3,4,81,0,19,4,9,24,136,80,1328
