nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,114,122,1269,0,177,0,0,0,0,0,0,0,0,0,21
1,130,479,737,43,228,22,12,26,0,2,3,3,0,2,16
2,1300,111,0,12,0,149,0,0,42,0,0,0,0,1,88
10,0,1567,0,34,0,91,0,11,0,0,0,0,0,0,0
20,89,455,120,494,170,2,2,191,0,26,8,125,4,6,11
30,1,337,0,295,83,185,0,633,79,0,0,78,2,4,6
40,0,93,0,1560,0,27,0,0,0,0,0,5,0,3,15
50,0,135,59,174,97,414,42,405,5,25,40,251,27,20,9
60,0,1554,0,5,0,119,0,5,1,0,0,8,4,0,7
70,0,60,0,187,17,75,46,860,98,1,15,209,39,93,3
80,0,345,0,8,95,0,0,432,0,44,57,372,164,184,2
90,43,12,0,13,3,279,15,651,10,18,20,478,66,11,84
91,2,1,0,6,0,11,3,19,21,7,20,275,520,767,51
92,1,1,0,30,1,15,5,4,1,2,12,73,167,1317,74
100,8,34,0,70,10,14,14,1,0,2,12,35,129,310,1064
