nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,1622,26,17,0,13,0,0,0,0,0,0,0,0,0,25
1,946,564,26,2,63,24,22,25,0,3,2,5,1,0,20
2,0,0,1276,0,22,191,56,0,42,2,0,0,0,0,114
10,0,523,590,12,560,0,16,0,0,0,0,1,0,0,1
20,457,415,4,0,150,166,6,302,0,78,87,17,12,0,9
30,87,80,7,162,483,31,412,58,79,180,32,71,8,0,13
40,0,0,370,0,0,1286,0,0,0,0,21,0,0,1,25
50,3,200,20,3,123,119,412,219,0,430,34,93,36,6,5
60,1511,2,0,0,101,0,0,0,15,31,0,0,0,0,43
70,33,33,2,6,205,384,126,153,127,323,106,78,35,87,5
80,0,409,0,0,67,124,47,132,6,333,143,56,321,56,9
90,78,1,5,5,36,82,173,109,0,779,57,230,93,1,54
91,13,1,0,0,0,4,73,15,7,131,31,136,934,236,122
92,4,2,0,1,0,7,40,5,9,13,32,64,385,877,264
100,17,5,4,1,1,10,39,4,16,1,13,14,155,79,1344
