nan,0.0,10.0,40.0,70.0,91.0,100.0
0,2810,106,1814,65,18,129
10,3126,269,953,536,35,23
40,2447,458,1219,629,72,117
70,944,64,1168,2237,418,111
91,26,11,83,660,3807,355
100,71,6,36,90,2019,2720
