nan,0.0,10.0,40.0,70.0,91.0,100.0
0,2860,66,1828,78,11,99
10,3196,135,1045,523,30,13
40,2557,229,1323,717,56,60
70,856,23,1313,2142,558,50
91,22,10,64,692,3436,718
100,66,29,38,98,1579,3132
