nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,872,786,14,1,4,5,1,3,0,1,0,0,0,0,16
1,617,848,38,22,63,23,35,34,0,4,3,6,0,0,10
2,141,0,1179,10,17,215,20,2,25,0,2,17,0,0,75
10,0,426,438,280,540,10,5,1,0,0,0,0,0,0,3
20,287,405,8,2,215,143,142,220,8,94,90,80,2,2,5
30,42,124,8,396,236,202,105,73,75,323,51,57,1,0,10
40,0,0,221,110,0,918,3,27,361,31,5,1,1,1,24
50,5,144,19,103,90,89,207,257,0,509,112,142,17,6,3
60,427,911,0,0,13,272,0,2,5,12,3,28,6,0,24
70,21,27,2,37,119,116,135,198,110,584,130,164,16,35,9
80,46,342,0,1,34,144,20,36,7,288,102,347,299,35,2
90,52,6,11,24,18,57,67,64,0,880,71,334,54,4,61
91,11,1,0,0,0,3,33,9,5,36,24,185,1177,157,62
92,4,3,1,1,1,3,32,14,7,19,20,37,466,896,199
100,8,2,9,4,0,4,21,0,7,1,12,10,154,85,1386
