nan,0.0,10.0,30.0,50.0,70.0,90.0,92.0,100.0
0,2861,412,69,1355,87,50,11,97
10,3827,447,67,219,289,68,16,9
30,2834,802,200,534,421,59,8,84
50,2434,708,137,623,883,51,77,29
70,1343,422,74,760,1761,273,278,31
90,257,97,43,456,1716,516,1434,423
92,9,15,25,50,217,233,3892,501
100,18,71,22,13,62,129,1439,3188
