nan,0.0,10.0,30.0,50.0,70.0,90.0,92.0,100.0
0,2117,157,2402,64,67,15,13,107
10,3318,311,830,128,262,89,0,4
30,1021,1235,1281,745,462,95,0,103
50,937,404,2383,148,920,124,10,16
70,800,81,1464,106,1512,777,182,20
90,156,22,505,61,1715,673,1625,185
92,8,10,31,30,158,427,4025,253
100,58,38,15,30,29,349,1652,2771
