nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,243,1433,0,0,0,0,0,0,19,0,0,0,0,0,8
1,507,1004,0,0,27,139,1,0,1,0,5,10,4,1,4
2,0,0,0,0,0,0,0,0,1688,0,0,0,0,3,12
10,0,38,0,0,4,1653,0,0,0,0,0,8,0,0,0
20,839,502,0,0,10,45,0,0,96,16,0,112,82,0,1
30,471,95,0,0,6,572,0,0,80,273,0,174,23,3,6
40,0,0,0,0,0,0,0,0,1703,0,0,0,0,0,0
50,161,280,0,0,71,464,5,0,6,115,32,465,55,49,0
60,1417,4,0,0,10,172,0,0,15,2,0,82,1,0,0
70,222,210,0,1,17,208,0,0,294,454,5,268,23,1,0
80,529,154,0,0,0,0,0,0,71,201,26,262,447,13,0
90,106,71,0,0,23,141,0,0,41,409,2,738,132,26,14
91,10,16,0,0,1,16,0,0,16,48,12,262,1162,104,56
92,7,10,0,0,1,14,0,0,327,0,11,83,434,713,103
100,2,66,0,0,6,5,0,0,302,0,1,54,264,484,519
