nan,0.0,10.0,30.0,50.0,70.0,90.0,92.0,100.0
0,4224,122,361,45,7,2,7,174
10,2532,1490,218,285,367,31,3,16
30,534,1974,1627,51,589,55,19,93
50,2276,383,703,236,1136,57,19,132
70,640,256,830,547,1868,567,217,17
90,24,51,370,40,1955,1750,464,288
92,6,16,163,46,135,1113,2715,748
100,28,33,119,31,27,392,293,4019
