nan,0.0,10.0,30.0,50.0,70.0,90.0,92.0,100.0
0,4201,161,283,92,69,45,7,84
10,2153,1386,490,387,449,65,8,4
30,476,831,1863,802,754,98,18,100
50,1645,590,640,381,1177,450,13,46
70,578,279,341,714,1909,945,122,54
90,47,45,263,163,1415,2117,466,426
92,5,11,141,68,122,853,2802,940
100,54,19,42,34,54,225,297,4217
