nan,0.0,10.0,40.0,70.0,91.0,100.0
0,4373,199,164,29,0,177
10,1847,1836,687,540,2,30
40,1542,1120,1371,771,15,123
70,436,581,547,2824,364,190
91,1,10,150,531,3551,699
100,13,9,94,74,526,4226
